date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1253836800,0.0,0.0,4.971026962962963e-06,0.0,0.0,102.0,102.0,102.0,1300.0
1253923200,0.0,0.0,4.672765345185185e-06,0.0,0.0,94.0,94.0,94.0,0.0
1254009600,0.0,0.0,4.424213997037036e-06,0.0,0.0,90.0,90.0,90.0,800.0
1254096000,0.0,0.0,4.3745037274074075e-06,0.0,0.0,88.0,88.0,88.0,0.0
1254182400,0.0,0.0,4.125952379259259e-06,0.0,0.0,85.0,85.0,85.0,2150.0
1254268800,0.0,0.0,4.324793457777778e-06,0.0,0.0,87.0,87.0,87.0,0.0
1254355200,0.0,0.0,4.225372918518518e-06,0.0,0.0,85.0,85.0,85.0,0.0
1254441600,0.0,0.0,3.728270222222222e-06,0.0,0.0,76.0,76.0,76.0,500.0
1254528000,0.0,0.0,2.883195638518519e-06,0.0,0.0,58.0,58.0,58.0,0.0
1254614400,0.0,0.0,3.032326447407407e-06,0.0,0.0,61.0,61.0,61.0,0.0
1254700800,0.0,0.0,2.883195638518519e-06,0.0,0.0,58.0,58.0,58.0,0.0
1254787200,0.0,0.0,2.038121054814815e-06,0.0,0.0,42.0,43.0,43.0,200.0
1254873600,0.0,0.0,2.5352237511111114e-06,0.0,0.0,51.0,51.0,51.0,0.0
1254960000,0.0,0.0,3.479718874074074e-06,0.0,0.0,70.0,70.0,70.0,0.0
